GroupID|MedicineName|MedicineCompany|ActiveSubstance|AdditionalContent|Unit|MedicineType|Prize|Details
HIV-General|Abamune|Cipla|Abacavir Sulfate|300|30|Abamune TAB|1444.5|This medicine contains Abacavir Sulfate. Sulfate(generic)Abacavir is a nucleoside analog which inhibits reverse transcriptase enzyme andinterferes with DNA synthesis mainly used to treat HIV and AIDS.
HIV-General|Abec |Emcure|Abacavir Sulfate|300|30|Abec TAB|1500|This medicine contains Abacavir Sulfate. Sulfate(generic)Abacavir is a nucleoside analog which inhibits reverse transcriptase enzyme andinterferes with DNA synthesis mainly used to treat HIV and AIDS.
HIV-General|Synabac|Synmedic Laboratories|Abacavir Sulfate|300|60|Synabac TAB||This medicine contains Abacavir Sulfate. Sulfate(generic)Abacavir is a nucleoside analog which inhibits reverse transcriptase enzyme andinterferes with DNA synthesis mainly used to treat HIV and AIDS.
HIV-General|Virol|Ranbaxy|Abacavir Sulfate|300|60|Virol TAB|4700|This medicine contains Abacavir Sulfate. Sulfate(generic)Abacavir is a nucleoside analog which inhibits reverse transcriptase enzyme andinterferes with DNA synthesis mainly used to treat HIV and AIDS.
HIV-General|Ziagen|GSK|Abacavir Sulfate|300|10|Ziagen TAB||This medicine contains Abacavir Sulfate. Sulfate(generic)Abacavir is a nucleoside analog which inhibits reverse transcriptase enzyme andinterferes with DNA synthesis mainly used to treat HIV and AIDS.
Cancer-General|Acnex-20|Unichem|Isotretinoin|20|10|Acnex-20 CAP|123.89|Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
Cancer-General|Acno|Ajanta|Isotretinoin|20|10|Acno CAP|150|Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
Cancer-General|Across|Dermawin|Isotretinoin|20|10|Across CAP|130|Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
Cancer-General|Acutret|IPCA|Isotretinoin|10|10|Acutret CAP|81|Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
Cancer-General|Iret|Cosme HC|Isotretinoin|20|10|Iret CAP|222|Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
